4045,0,0,1,1
4053,0,0,1,1
4071,3,0,1.5,6
4183,0,0,1,1
4247,42,3,1.5,74
4286,2,1,2,2
4305,1,0,1.5,2
4411,1,0,1.5,2
4416,0,0,1,1
4478,0,0,1,1
4485,1,0,2,1
4522,0,0,1,1
4546,0,0,1,5
4592,0,0,1,1
4689,0,0,1,2
4693,0,0,1,2
4722,0,0,1,1
4748,0,0,1,1
4798,1,0,2,1
4802,0,0,1,1
4809,0,0,1,1
4823,0,0,1,6
4879,1,0,2,1
4920,0,0,1,1
4929,2,0,1.142857143,7
4969,4,0,1.375,8
4993,0,0,1,1
5027,1,0,1.25,4
5028,0,0,1,1
5033,0,0,1,2
5052,1,0,2,1
5095,4,0,1.375,8
5111,0,0,1,1
5165,1,0,1.5,2
5194,1,0,2,1
5347,2,0,2,1
5373,5,0,1.285714286,14
5379,0,0,1,1
5406,2,0,2,1
5428,1,0,2,1
5431,1,0,2,1
5497,1,0,2,1
5508,0,0,1,4
5524,0,0,1,1
5549,1,0,1.25,4
5569,0,0,1,1
5583,1,0,1.5,2
5594,0,0,1,1
5612,0,0,1,1
5706,12,1,1.611111111,18
5723,2,0,1.4,5
5734,0,0,1,1
5779,0,0,1,1
5793,1,0,1.5,2
5810,6,0,1.4,5
5874,8,0,1.454545455,11
5920,0,0,1,1
5965,0,0,1,1
5981,2,0,2,1
6090,0,0,1,1
6349,0,0,1,1
6379,3,0,2,3
6607,10,0,2,2
6610,3,1,1.6,5
6612,10,1,1.428571429,14
6663,1,0,2,1
6682,1,0,1.5,2
6694,4,0,1.4,5
6696,1,0,1.166666667,6
6731,25,1,1.636363636,22
6735,1,0,1.5,2
6779,3,0,1.666666667,3
6789,2,0,1.666666667,3
6838,0,0,1,1
6862,1,0,1.5,2
6903,6,0,1.625,8
6931,0,0,1,1
6943,4,1,1.5,6
7131,0,0,1,3
7183,0,0,1,3
7184,2,0,2,1
7268,2,0,2,1
7286,6,0,1.428571429,7
7503,2,0,1.333333333,6
7529,5,0,2,1
7532,0,0,1,3
7543,0,0,1,2
